ID;Photo;Nom;Référence;Catégorie;Prix de base;Prix final;Quantité;Statut;
11;http://www.fruitdautomne.fr/img/p/1/6/16.jpg;Véronique;A7;Accueil;10.000000;10;1;1;
75;http://www.fruitdautomne.fr/img/p/1/0/5/105.jpg;Okoumé;C11;Boucles d'oreilles;15.000000;15;1;1;
8;http://www.fruitdautomne.fr/img/p/1/3/13.jpg;Chrysalide;A4;Accueil;10.000000;10;1;1;
72;http://www.fruitdautomne.fr/img/p/1/0/1/101.jpg;Lomba;C8;Boucles d'oreilles;15.000000;15;1;1;
5;http://www.fruitdautomne.fr/img/p/6/6.jpg;Coralis;A1;Accueil;10.000000;10;0;1;
69;http://www.fruitdautomne.fr/img/p/9/7/97.jpg;Coccinelle ;C5;Boucles d'oreilles;15.000000;15;1;1;
66;http://www.fruitdautomne.fr/img/p/9/4/94.jpg;Abeille;C2;Boucles d'oreilles;15.000000;15;1;1;
63;http://www.fruitdautomne.fr/img/p/1/5/4/154.jpg;Alors, que vois-tu ?;M2;Oeuvres;75.000000;75;1;1;
60;http://www.fruitdautomne.fr/img/p/1/5/2/152.jpg;Symbiose;T3;Oeuvres;119.000000;119;1;1;
57;http://www.fruitdautomne.fr/img/p/8/3/83.jpg;Wapa;B33;Accueil;12.000000;12;1;1;
54;http://www.fruitdautomne.fr/img/p/8/0/80.jpg;Corinthe;B30;Accueil;12.000000;12;1;1;
51;http://www.fruitdautomne.fr/img/p/7/7/77.jpg;Bilinga;B27;Accueil;12.000000;12;1;1;
115;http://www.fruitdautomne.fr/img/p/1/4/7/147.jpg;Gazania;E7;Accueil;24.800000;24.8;1;1;
48;http://www.fruitdautomne.fr/img/p/7/2/72.jpg;Carline;B24;Accueil;12.000000;12;1;1;
112;http://www.fruitdautomne.fr/img/p/1/4/4/144.jpg;Mélanacantha;E4;Accueil;24.800000;24.8;1;1;
45;http://www.fruitdautomne.fr/img/p/6/6/66.jpg;Amaryllis;B21;Accueil;12.000000;12;0;1;
109;http://www.fruitdautomne.fr/img/p/1/4/1/141.jpg; Véra;E1;Accueil;24.800000;24.8;1;1;
42;http://www.fruitdautomne.fr/img/p/6/2/62.jpg;Dahlia;B18;Accueil;12.000000;12;1;1;
106;http://www.fruitdautomne.fr/img/p/1/3/8/138.jpg;Anacardia;D22;Accueil;20.000000;20;1;1;
39;http://www.fruitdautomne.fr/img/p/5/7/57.jpg;Colombine;B15;Accueil;12.000000;12;1;1;
103;http://www.fruitdautomne.fr/img/p/1/3/5/135.jpg;Olivia;D19;Accueil;20.000000;20;1;1;
100;http://www.fruitdautomne.fr/img/p/1/3/2/132.jpg;Sandérae;D16;Accueil;20.000000;20;1;1;
36;http://www.fruitdautomne.fr/img/p/5/3/53.jpg;Cierge d'Argent;B12;Accueil;12.000000;12;1;1;
97;http://www.fruitdautomne.fr/img/p/1/2/9/129.jpg;Epidendrom;D13;Accueil;20.000000;20;1;1;
33;http://www.fruitdautomne.fr/img/p/5/0/50.jpg;Calathéa;B9;Accueil;12.000000;12;1;1;
30;http://www.fruitdautomne.fr/img/p/4/7/47.jpg;yucca;B6;Accueil;12.000000;12;1;1;
94;http://www.fruitdautomne.fr/img/p/1/2/6/126.jpg;Elégia;D10;Accueil;20.000000;20;1;1;
27;http://www.fruitdautomne.fr/img/p/4/2/42.jpg;Jouvencelle;B3;Accueil;12.000000;12;1;1;
91;http://www.fruitdautomne.fr/img/p/1/2/3/123.jpg;Ardisia;D7;Accueil;20.000000;20;1;1;
88;http://www.fruitdautomne.fr/img/p/1/2/0/120.jpg;Calathéa;D4;Accueil;20.000000;20;1;1;
